relation,source,target
r_subdomain,Domain_80649565f8ee37cf37c433ba35aea119763c4567f51b657d361442968bb70558,Domain_e26e2305f9f752282a3963841529a995edd7d1aceacb2942b9dcf76276560b27
r_cert,Domain_80649565f8ee37cf37c433ba35aea119763c4567f51b657d361442968bb70558,Cert_3aa9c13836903efd1bfd8b9d39b60438924486a90573544d7372259df4bd68ea
r_cert,Domain_f8c51dca739bf3f28cc384e1f4621f6495294c4e442df20004e6b3b7d75cd31f,Cert_6181511cce40d2ef7f96d18a24346a98b00ef36267aeba4a952683c31dc69601
r_subdomain,Domain_0663103ee042ce18927411a3b7cb5b30850e06a7c3a77dfa5d62275d8558aea0,Domain_e592092e9473508326fb49889b52f207be3d026ed2e55821c1867c92d9957175
r_subdomain,Domain_34c1495da452eb30eed174690ae80d3744f0f364d7b796d8bd942f6456de11c5,Domain_68730a99f3d9f82513dfc7ee734461522c5a86f30ab1d2754733ae4c638f3b16
r_cert,Domain_a5956537130fba5b3ed2e91fe6f512e74234a7f948c65ae2161874f86550e3b0,Cert_7e5ea106e6ce2d56d4681406f2f602d9be86acc296f4059c80b100eb1e424fa0
r_cert,Domain_d1d1adc88836d2fc1aa11c17bf951b5509922152523e6b644647025d3afec989,Cert_3aa9c13836903efd1bfd8b9d39b60438924486a90573544d7372259df4bd68ea
r_cert,Domain_7e17212ad38514079e40596bab7e77da337ebc7d74d3482fb7c1ea281977a189,Cert_7e5ea106e6ce2d56d4681406f2f602d9be86acc296f4059c80b100eb1e424fa0
r_cert,Domain_3acf6cbaa2766bb8dc8ac4319a6531999ddc96afccf448f0b6bac4f0522a3455,Cert_6181511cce40d2ef7f96d18a24346a98b00ef36267aeba4a952683c31dc69601
r_subdomain,Domain_ca484a80d629c2625820761746692f177de6fee9b51a0b8d3f9097d159196e7a,Domain_6829abd71fce6d86f20e06010303c25d73767d389c83292a6c48d8334eaa0f93
r_subdomain,Domain_905ec49c5e5ab15aad520460a950ef9d65d48b1b43a1ee57d1e7b162b18bab56,Domain_bd8919f33955b00380d42cb34c1fb271f1b88133543c3978cb776334d471ee4f
