relation,source,target
r_cert,Domain_dc7778a1e7b45016aff8cdc26fc1f48eed4bbfcfde1a06df22c94607c2891272,Cert_6724539e5c0851f37dcf91b7ac85cb35fcd9f8ba4df0107332c308aa53d63bdb
r_dns_a,Domain_bb527045452e8a70ca8f13e20599245e248c82cceffb3590f12c21e4c89bbe74,IP_e0d228205cd3e078cd08fb20002d12c09b31c5d2f187035cdcb85c92e18f8535
r_subdomain,Domain_1a5a12094bd6108eb952ddf7f9955b6022170aee3cad0d5f5162a29dc0249c4d,Domain_bfeb36ff4831d89edba256129443e3e7acf376ff8ef1f3b594ca71a6b01fe61a
r_subdomain,Domain_73a5c44bb64347c23ca2db93df62b2641ac697b4527ebd1a745645b7876f7075,Domain_e2f7dd9ffd85995a5da4fb3a280ef2913530b1df94def4b07c2911d7ebe1933e
r_dns_a,Domain_73a5c44bb64347c23ca2db93df62b2641ac697b4527ebd1a745645b7876f7075,IP_3b496d52472ccd387aa8de40c2fd2b38e82d60397623bf0fcbb0611553b00229
r_cert,Domain_3f697496874417dd6c2c57cc0edeac2792b3f2016faab4330441207ca6433416,Cert_6724539e5c0851f37dcf91b7ac85cb35fcd9f8ba4df0107332c308aa53d63bdb
r_dns_a,Domain_3f697496874417dd6c2c57cc0edeac2792b3f2016faab4330441207ca6433416,IP_93a303ba531ddbe61085d9cfb4d404e874c0634939a1dd5a8435646c8b82cf1f
r_dns_a,Domain_3f217ad64dac17fae7c4268b45aa95fd706ffb9961651310e659bd4f64f8a6e1,IP_680913338d4039514d90a6541ba4ebdc64e6bd6938f56ac8a09b7307391da72d
r_subdomain,Domain_7456552384acc259d17565bd74b4572afff086249431b707122c526783d4978f,Domain_e70bd369d37607c26d3afe4e594980653e32cfa6f9ed011ebad1e4f50185edef
r_cert,Domain_7456552384acc259d17565bd74b4572afff086249431b707122c526783d4978f,Cert_6724539e5c0851f37dcf91b7ac85cb35fcd9f8ba4df0107332c308aa53d63bdb
r_dns_a,Domain_7456552384acc259d17565bd74b4572afff086249431b707122c526783d4978f,IP_3b496d52472ccd387aa8de40c2fd2b38e82d60397623bf0fcbb0611553b00229
r_dns_a,Domain_ae0c9581e23528b5651eeba1f95ca44d6f68a470f23907d167a6958f39c56d86,IP_93a303ba531ddbe61085d9cfb4d404e874c0634939a1dd5a8435646c8b82cf1f
r_cert,Domain_fc170017e3c4d60d80a6a9e78bac4accbff16c1f8c7bb9ec8b2169e4720979c2,Cert_6724539e5c0851f37dcf91b7ac85cb35fcd9f8ba4df0107332c308aa53d63bdb
r_dns_a,Domain_fc170017e3c4d60d80a6a9e78bac4accbff16c1f8c7bb9ec8b2169e4720979c2,IP_c031ba4908dfcbfd2858375728883099d7c028636dcc4524b1c5bb491d3e2b99
r_dns_a,Domain_9b7e9a4ad8496661117d31e488482ff7632b5d6848e424e862a325fb497e485d,IP_33793df3d3e6886b4b0f7e2230f31d3de6152d4ffabea850572be5177f66e813
r_subdomain,Domain_a52fffd2651f2a91314bb6f8043d0d495125700c644c802f00673b017b85313d,Domain_33e3e3e632f751b4c804743ab1acec07ec2bb324f5a8f561863135be439ed46f
r_dns_a,Domain_1438180861af935b4b06e508b48a2f877d7fa58246dc90c7d7cbf60ac4ec462c,IP_14052d246b0d074ac3b0a39e9f48795346d855539b5a88e9def25f81077b6360
r_subdomain,Domain_6dcf0cec230ddeabf0f08cad5374b39b2a2308cbe6e97691165645cc01fbec54,Domain_ab969145e81b44e13afdc1a6e5b103aab790d4b9d05fd00c80cc8a197d6d764c
r_subdomain,Domain_562c79cb2a70367baf02db4da2e33fbec7f898a56fbcf235085d030638e5a2e0,Domain_a79c1a7a661a6e805b6074dd694ebe1a9aab074eacd72e2623e930bf24f624a9
r_cert,Domain_562c79cb2a70367baf02db4da2e33fbec7f898a56fbcf235085d030638e5a2e0,Cert_6724539e5c0851f37dcf91b7ac85cb35fcd9f8ba4df0107332c308aa53d63bdb
r_dns_a,Domain_e94540ad7184dc8fa0a695dbdfca71a98ff208ca41ccb0d9f8e8ee7622f82d6b,IP_aed2b57bcd149e0306863a8884eb98819abc1cedae5f7de2745fe5c9be5c65a6
r_cert,Domain_b922c9f1eee7a8023eaf343e0303dddcad9a93eae52bb02226fd4fffe7a9989a,Cert_6724539e5c0851f37dcf91b7ac85cb35fcd9f8ba4df0107332c308aa53d63bdb
r_dns_a,Domain_b922c9f1eee7a8023eaf343e0303dddcad9a93eae52bb02226fd4fffe7a9989a,IP_213f7a794d43709bac2d20e1b034e8b38fdbe3905b89a8ad409a580a00cf542c
r_subdomain,Domain_6a605a1939f152d86452e4ae4ffe7c629f83405eb413087335918009b0cb30f4,Domain_51343dfbdc5df5fc282a8bc4e6ea470514ca54ebd962992d13a6817769a22999
r_cert,Domain_7761d8fb0f0597d7686a19f037d564a8ba73c652565fd1e4b22ab643b4685936,Cert_6724539e5c0851f37dcf91b7ac85cb35fcd9f8ba4df0107332c308aa53d63bdb
r_subdomain,Domain_8f431bd6b3f6f05b406cbb1024f743428c4d0a8e5eec8e40f4d7ee91ebf17c94,Domain_5ee5339a8a8411a443975865afbdc5eae5ea29988915e7bb3f29a3df2d6f875b
r_dns_a,Domain_8f431bd6b3f6f05b406cbb1024f743428c4d0a8e5eec8e40f4d7ee91ebf17c94,IP_33793df3d3e6886b4b0f7e2230f31d3de6152d4ffabea850572be5177f66e813
r_cert,Domain_7be3e499775151f917b58442260daa6bbc57769fb9eb5d42cdd5900df2a837d6,Cert_6724539e5c0851f37dcf91b7ac85cb35fcd9f8ba4df0107332c308aa53d63bdb
