id,name,type,industry,Industry and number
IP_20cb513ab710daecf65fd60e07c536697f519553f3bf711fdbbae2a11ec57c7b,142.91.xxx.xxx,IP,  ,"[['  ', 23], ['A', 5], ['B', 1]]"
IP_057a478eceb14c597622878ccb9824f8548ca2b1d82766ab92f3ac387c8fc650,142.91.xxx.xxx,IP,  ,"[['A', 3], ['  ', 17], ['B', 6]]"
Cert_6724539e5c0851f37dcf91b7ac85cb35fcd9f8ba4df0107332c308aa53d63bdb,6724539e5c,Cert,  ,"[['  ', 1416], ['A', 159], ['B', 38], ['AB', 11]]"
IP_79311acebf707260d75e3ed816cf9da4ce4e45930677ac79358f41eb4a298f75,147.255.xxx.xxx,IP,  ,"[['  ', 13], ['B', 3]]"
IP_fd274aab417beb2bbd649cce02bd98f38483b40fbc781747cdeac4a83bb0a58c,147.255.xxx.xxx,IP,  ,"[['B', 4], ['  ', 20], ['A', 5]]"
IP_b38dfdd8637bf25278f0b9a339ab922da1a555f9bc62851c265ed2030cb9a242,23.82.xxx.xxx,IP,  ,"[['B', 6], ['  ', 26], ['A', 7]]"
IP_3fa35c026b1deb86be5a4968f285a32c1c3707e0deae161f9c988015503b98bd,147.255.xxx.xxx,IP,  ,"[['  ', 23], ['B', 5], ['A', 1]]"
IP_43fb28c11ddee1a568d667fb8ebcbbf00922be6d05477d22bb87b6ba8ef1d2b6,142.234.xxx.xxx,IP,  ,"[['  ', 14], ['A', 8], ['B', 2]]"
IP_7165dd0b4a443b64410cc6513d0e50efe3d5a9c1dd73f41b73b59e9a409dfcf3,142.234.xxx.xxx,IP,  ,"[['A', 7], ['  ', 16]]"
IP_3412e9509da22092aafd094b425d73795d333ea97c824668deaab3a059df3640,142.234.xxx.xxx,IP,  ,"[['B', 6], ['A', 2], ['  ', 13]]"
IP_360d0f5dba08d72ea4a745954ab94178b8b628c9845907c5d7e48466f8378fc4,142.234.xxx.xxx,IP,  ,"[['  ', 10], ['A', 1], ['B', 2]]"
IP_ea400d44363c5f7bf0eeea84877353fbaf386305c0336a0367ffd9069b2982ad,147.255.xxx.xxx,IP,  ,"[['A', 2], ['  ', 8], ['B', 3]]"
IP_92e4a002125f6929f95e0e94a148473c3a20d5e8d95529a9500a456baada2c4a,147.255.xxx.xxx,IP,  ,"[['B', 4], ['  ', 13], ['A', 3]]"
IP_8b59e4330973b564101ac61fb4aecca4926a58b7e33ac0183b3f57123e269c96,147.255.xxx.xxx,IP,  ,"[['  ', 17], ['A', 1], ['B', 5]]"
IP_7b9954624b78d63b870d3d03daea2c89620ce866901c3affc07554fde1aa5f7f,147.255.xxx.xxx,IP,  ,"[['  ', 8], ['A', 6], ['B', 5]]"
IP_6d2cb9d60f491d5384166b2c4c8837267663a385e2433ff49588f42ef44a1a42,23.82.xxx.xxx,IP,  ,"[['A', 6], ['  ', 26], ['B', 3]]"
IP_2ae1f89e74c2bd2a9e5b5f3f5055932716116da9ea12c07647ac4a376ec97c9c,147.255.xxx.xxx,IP,  ,"[['  ', 18], ['B', 3], ['A', 3]]"
IP_c6eff0c2bf2309e08475f9a236d6f8a8f3c49bb19fc8b7215fed332cbfd49767,147.255.xxx.xxx,IP,  ,"[['  ', 20], ['A', 3], ['B', 1]]"
IP_8c412ab36e7a6d560a51eeee4d5c7129b80d50793de8e46278482fad5f99f67c,147.255.xxx.xxx,IP,  ,"[['A', 12], ['B', 2], ['  ', 15]]"
IP_f48f05535f3ee00572a97f62ab30bbfbeb69f2d2699915365ff1801ac64cbf6c,23.82.xxx.xxx,IP,  ,"[['  ', 27], ['B', 5], ['A', 2]]"
IP_9f02d6f1f21b7bb5cec8c4b410cffec1a2e54f86f59247cb41201d07eaa8d9ce,142.234.xxx.xxx,IP,  ,"[['A', 2], ['  ', 11], ['B', 2]]"
IP_fc3aac2f8712bb5a6eb40783da60cc496cc0941476c3c0d60981265ae903495b,142.234.xxx.xxx,IP,  ,"[['B', 4], ['  ', 7], ['A', 3]]"
IP_9c7f3a5ef80a17c1b9c24e5c4c81f949ef3d893ae9db7ac553ab193ce5cc88a5,142.234.xxx.xxx,IP,  ,"[['  ', 21], ['A', 5], ['B', 3]]"
IP_4ea0cbe0ae9dc770e66a956fbe088134aa68b55b43ad9b1f60a7c66ae661b763,142.234.xxx.xxx,IP,  ,"[['  ', 18], ['A', 4], ['B', 3]]"
IP_e02d9773ca0264c71d949a29bcfddd157df22b4fda4f9bde02bbb591481d13c3,142.234.xxx.xxx,IP,  ,"[['  ', 16], ['B', 1]]"
IP_099e42792f5db82c21d14751d1d194b9a855fb60349da3c0809e0103c1fa2b47,142.91.xxx.xxx,IP,  ,"[['A', 2], ['  ', 13], ['B', 2]]"
IP_a2ebd3c022a5320f6ee011c272706c6fc4e702898004040e8777ed6994a65981,142.234.xxx.xxx,IP,  ,"[['A', 3], ['  ', 9], ['B', 3]]"
IP_b4be5f2d1105602cf087b1c90bf5cfcac294e9f59f43c6662ee4e578db865352,142.234.xxx.xxx,IP,  ,"[['  ', 13], ['B', 1]]"
IP_c1e788099186818d57aebd8111b6214d58033df998e5e1e60939e07f8e62e380,142.234.xxx.xxx,IP,  ,"[['  ', 20], ['A', 1], ['B', 2]]"
IP_7e730b193c2496fc908086e8c44fc2dbbf7766e599fabde86a4bcb6afdaad66e,23.82.xxx.xxx,IP,  ,"[['  ', 14], ['A', 5], ['B', 1]]"
IP_8383a7c6a51fc92972b1945ed00cb3065380abe3677aba6ed1cde17c394e4a6d,142.234.xxx.xxx,IP,  ,"[['B', 2], ['  ', 16]]"
IP_8055cffdcb91fbbe394a0d7ac488a2e0adfdfbe78199491bdb149af27708afb7,142.234.xxx.xxx,IP,  ,"[['  ', 15], ['B', 3], ['A', 3]]"
IP_207185a77262f6b5c76ac215b948550372574b92a3effcfe05ed5ef3c214eace,142.234.xxx.xxx,IP,  ,"[['A', 2], ['  ', 12], ['B', 2]]"
IP_9469ab6d965bfb3e10545e038abc9557cf28ebd0a55f7c6e22ac040f04c74e14,142.234.xxx.xxx,IP,  ,"[['  ', 15], ['B', 4]]"
IP_be6f0363f06e36e64c83570d449198813e221309d760d578fd3c2ca85320e92e,142.234.xxx.xxx,IP,  ,"[['  ', 18], ['A', 2], ['B', 3]]"
IP_ce80b1b665f13c3d38ca7eb79fc695dfcd8dc8c592f0b41c3d3d0624e25b18b6,142.234.xxx.xxx,IP,  ,"[['  ', 16], ['B', 3], ['A', 1]]"
IP_f3286234000a9c6f61dce0cb75fb8edadd56dab6f86accf1d6742b4c3e72da72,142.234.xxx.xxx,IP,  ,"[['  ', 22], ['B', 2], ['A', 1]]"
IP_9d15d67d84f9c11da315d2de4f95c301fb8b2874ff4b63b5e6cd0c335dc89c4e,23.82.xxx.xxx,IP,  ,"[['  ', 18], ['A', 3], ['B', 3]]"
IP_48cc8fb4cbae8e075772452280942726e4005062f2006eba0f8a5e97307a2e44,23.82.xxx.xxx,IP,  ,"[['  ', 21], ['A', 4], ['B', 3]]"
IP_7cb46c2a9ddcfdfabad5768916fdb49c54230a9eb41dc96e20f682313d8eeffc,142.234.xxx.xxx,IP,  ,"[['  ', 17], ['B', 4], ['A', 3]]"
IP_04023c1aeceae5ac951ca1130a324cf0475181ac060f5f0203f994aee93cd869,23.82.xxx.xxx,IP,  ,"[['  ', 16], ['A', 8], ['B', 2]]"
IP_99d06129abee31ec7080951e0cafcbdd6f8c654ea1ce468445b3cb5f82a16d2f,23.82.xxx.xxx,IP,  ,"[['  ', 15], ['B', 6]]"
IP_191b2d1f38b93a6668caf2cbeeccb478040b3a8225d7e767566498c0dcfd6d3b,23.82.xxx.xxx,IP,  ,"[['A', 7], ['  ', 14], ['B', 1]]"
IP_8a308da2e7180ef008d349f4bf7026ed15687828042aa37e41c338a3aeb05d36,23.82.xxx.xxx,IP,  ,"[['  ', 20], ['B', 5], ['A', 5]]"
IP_a6701a90aebc33eb99a641e12098cc51c11b4d1a3e236694c2915310c4ca401b,147.255.xxx.xxx,IP,  ,"[['  ', 9], ['B', 2], ['A', 3]]"
IP_4c2db692733b4dbd7e855568cbaa6faadc110ccdb7a8f83190224bd02210ee2c,147.255.xxx.xxx,IP,  ,"[['  ', 11], ['B', 3]]"
IP_51a69bde990d2628f95ccdf47434d1c70dc803a48c6d50b96e64c22e478e34ed,147.255.xxx.xxx,IP,  ,"[['B', 8], ['  ', 16], ['A', 1]]"
IP_a153b48311da10cf173b7f6aa7813435623b8d00c380f8fecff6b7c70e823543,142.234.xxx.xxx,IP,  ,"[['  ', 18], ['A', 2], ['B', 3]]"
IP_213f7a794d43709bac2d20e1b034e8b38fdbe3905b89a8ad409a580a00cf542c,147.255.xxx.xxx,IP,  ,"[['  ', 9], ['A', 1], ['B', 2]]"
IP_aed2b57bcd149e0306863a8884eb98819abc1cedae5f7de2745fe5c9be5c65a6,23.82.xxx.xxx,IP,  ,"[['  ', 12], ['B', 4], ['A', 1]]"
IP_ce12f81dfa8c544f3ff195e457d4b4fdd4376c1a431fac3d94134470203c6c2c,23.82.xxx.xxx,IP,  ,"[['  ', 14], ['B', 1], ['A', 1]]"
IP_c031ba4908dfcbfd2858375728883099d7c028636dcc4524b1c5bb491d3e2b99,142.234.xxx.xxx,IP,  ,"[['  ', 15], ['A', 3], ['B', 2]]"
IP_f9a1c8a3c85225da3f4ea8947ac424fb8b7e2648b30e20d09b61ebfcf10e02da,23.82.xxx.xxx,IP,  ,"[['  ', 9], ['A', 2], ['B', 1]]"
IP_f297a6a73414e2f8a7005eb267a8ee47c674c7b436b6d4fe14131f7490ba722a,142.234.xxx.xxx,IP,  ,"[['  ', 16], ['B', 2], ['A', 2]]"
IP_33793df3d3e6886b4b0f7e2230f31d3de6152d4ffabea850572be5177f66e813,147.255.xxx.xxx,IP,  ,"[['  ', 16], ['B', 5], ['A', 1]]"
IP_11d326ee33c8f657ac4a745e6b20d10a537810ddc0dd2f50dece068413b1e88a,147.255.xxx.xxx,IP,  ,"[['B', 4], ['  ', 11], ['A', 6]]"
IP_4ba2451625b0f5981d9f32a67068d9ac5163eeead194e7b04c6670aab347e772,147.255.xxx.xxx,IP,  ,"[['B', 3], ['  ', 13], ['A', 3]]"
IP_c4e5b75e65cd9015613385dade65ca1cfdacc91aeba6be18dd16436bc89fc43e,23.82.xxx.xxx,IP,  ,"[['  ', 17], ['B', 3], ['A', 3]]"
IP_93a303ba531ddbe61085d9cfb4d404e874c0634939a1dd5a8435646c8b82cf1f,23.82.xxx.xxx,IP,  ,"[['  ', 20], ['B', 5]]"
IP_3b496d52472ccd387aa8de40c2fd2b38e82d60397623bf0fcbb0611553b00229,147.255.xxx.xxx,IP,  ,"[['  ', 10], ['B', 2], ['A', 1]]"
IP_680913338d4039514d90a6541ba4ebdc64e6bd6938f56ac8a09b7307391da72d,147.255.xxx.xxx,IP,  ,"[['  ', 11], ['B', 6], ['A', 1]]"
IP_8a7e8a3071b7ae7633924dc540b72b23d25ed2a20ecca7be56e218c0127a806b,142.91.xxx.xxx,IP,  ,"[['  ', 17], ['B', 3], ['A', 1]]"
IP_032f922ae5199f62eaba2a02d5b656382c583a5b5f51325bfecab065756881ec,142.91.xxx.xxx,IP,  ,"[['  ', 17], ['B', 6], ['A', 3]]"
IP_8cb9fb3fcee698a50bac348691be2b47d0902ff567de7aaec530ea65d0c05381,142.234.xxx.xxx,IP,  ,"[['  ', 15], ['B', 3], ['A', 2]]"
IP_14052d246b0d074ac3b0a39e9f48795346d855539b5a88e9def25f81077b6360,142.234.xxx.xxx,IP,  ,"[['  ', 10], ['B', 4], ['A', 1]]"
IP_e0d228205cd3e078cd08fb20002d12c09b31c5d2f187035cdcb85c92e18f8535,142.91.xxx.xxx,IP,  ,"[['  ', 12], ['A', 2]]"
IP_e194cdba3af1ca142453788c2fa3a6ceb2ab920bbcdf670e4399d97b798d0545,3.223.xxx.xxx,IP,  ,"[['  ', 7], ['B', 3], ['A', 1]]"
IP_d4f954237d3c51ce23067e73841af5016ea81076df06fe42d6c690683ae8ccb9,156.229.xxx.xxx,IP,  ,"[['A', 8]]"
IP_de4921bc4580f8672622ae89ed5ee8dd08dfe349bff73a6b52b4cba69b470da1,104.252.xxx.xxx,IP,  ,"[['B', 2], ['  ', 1]]"
IP_8b3b9e5e19013dc25b1eb4719ae8c19ade291c15c488174a52f9a93bb190ae44,154.221.xxx.xxx,IP,  ,"[['A', 8], ['  ', 10]]"
IP_66ed3f3ab29ac642ffb6dd0d2c19acd48d26ad173265ddf20271affb86fcd035,45.197.xxx.xxx,IP,  ,"[['B', 1], ['  ', 1]]"
IP_399394f880802b91935222c24af6a1b36b47c499b25639d39c23bea6e2b1d175,35.206.xxx.xxx,IP,  ,"[['B', 70], ['  ', 10]]"
IP_f0f4d44c89578ba27cbef46f66552aa1f8417d53c193e880129c8fb91db83672,45.89.xxx.xxx,IP,  ,"[['A', 2]]"
IP_0183ba05070632fb1b7df3d0407c6862797d0983b0523eb179854d0b2b022774,136.0.xxx.xxx,IP,  ,"[['B', 3], ['  ', 1]]"
IP_2e4c6216c7401e013d42b475224a67c84b6659e09d62f49a6f032ce5249d04c1,185.240.xxx.xxx,IP,  ,"[['A', 4]]"
IP_8ceaaa6ad3a62fc795ac9e229c94e87d68577b06fc1adb50b782cf6122b02b61,23.108.xxx.xxx,IP,  ,"[['A', 3], ['  ', 8]]"
IP_2f186aa4dd043517a7075629fc072fb787915b167fd2366634981a1652af02cf,185.240.xxx.xxx,IP,  ,"[['A', 2]]"
IP_b93094ae54948c08956484228f9bbea8eddf052f9fba1159990bcb666ac024fd,23.108.xxx.xxx,IP,  ,"[['  ', 2], ['A', 1]]"
IP_49950651aa2f57d47334a8bd868b83a587a69b6374bf4f85283d85b58bb0af92,3.141.xxx.xxx,IP,  ,"[['A', 3], ['  ', 8]]"
IP_ba77cc6f33a60b6c210988d7b7a3b97a420b7936d3dc3d7c12b2774c1209bb6d,3.18.xxx.xxx,IP,  ,"[['A', 3], ['  ', 6]]"
IP_dd1b0c6d8d7e3adf86e77008bfa0aa630c532a74636bd365a32d11699f38a1aa,3.14.xxx.xxx,IP,  ,"[['A', 3], ['  ', 8]]"
IP_be95e94859183d3f7dba59258f6355d05dd037904d73dcae16e2b04a6854199e,23.225.xxx.xxx,IP,  ,"[['A', 4], ['  ', 2]]"
IP_81ccdbc0fdd313b7d6b3f57a976d655732a343878f38c3e7865c33e05324b7a7,45.89.xxx.xxx,IP,  ,"[['A', 1], ['  ', 1]]"
IP_4afa6d1fd2aaf0e26de47c1e776f8a8b1dc74905723f0f91855436038a2783f6,166.88.xxx.xxx,IP,  ,"[['A', 2], ['  ', 1]]"
IP_65e820021a10635dd7a6865ce5e9157d78674c9eba65bfab7f026ee56f2ddbb1,154.39.xxx.xxx,IP,  ,"[['B', 1], ['  ', 1]]"
IP_1522821e6f58ca6c3571a959e5852f63b173380aadd0fbec632f52a997c560e5,156.240.xxx.xxx,IP,  ,"[['B', 3], ['  ', 2]]"
IP_1c79cca34d77b705c8fb8a35a1a79a221542fa0b64903e344bf734815810f028,156.240.xxx.xxx,IP,  ,"[['B', 5], ['  ', 6]]"
IP_234a81bd0cc1341e8a541ccf7f036d87ef1c2ae0657cc0cc59481bf7ff6863d2,156.240.xxx.xxx,IP,  ,"[['B', 6], ['  ', 5]]"
IP_c341a2803eb4e5661fc707cd235404946502dcad108cc6d37582464155e9eabd,156.250.xxx.xxx,IP,  ,"[['  ', 1], ['B', 1]]"
IP_a9599805c195b5a859b4f824e519d2f2379ee5e35a4f518e98784956a88461d5,156.240.xxx.xxx,IP,  ,"[['B', 5], ['  ', 12]]"
Cert_227bf54ff4dd5186b12df54678cfca795f258a9c8b1335001bc4fd437d97ce5f,227bf54ff4,Cert,  ,"[['A', 1]]"
IP_2c0321f2e4e995e7e39e78397f07b3b9ffff420ef6477c2d33a3cfed6ef2f585,43.129.xxx.xxx,IP,  ,"[['B', 43], ['  ', 5]]"
IP_314d2175b08da046d50bce6bdfb30d6459ef2c9c11add585ae6740713be3b450,45.194.xxx.xxx,IP,  ,"[['A', 5], ['  ', 5]]"
