id,name,type,industry,pagerank
IP_7684c8f10f610f43ee08221e7130c16b0d9d59035fbf0a55a641639af6a73676,175.29.xxx.xxx,IP,[],0.0212498622277429
Cert_3aa9c13836903efd1bfd8b9d39b60438924486a90573544d7372259df4bd68ea,3aa9c13836,Cert,[],0.1230011384909721
IP_2010a036d0a461366ba6df52d118ce03f4ce457eb66fe623069429e11e365fec,175.29.xxx.xxx,IP,[],0.0144702374885772
IP_96de0f0acab70d4fe3271fb04f78fad235a8d3f0602b9b3a4a90009ae56c7eec,175.29.xxx.xxx,IP,[],0.0062261777130155
IP_7ee3ab446851258a0a7c0f8db0f4abbd2d05ee6b29e3ce3091308d9888fb3e6d,175.29.xxx.xxx,IP,[],0.0082624675672238
IP_cb61353035b8c14bd720ffb11632f5ec6731ede75b49d2a4b31019ff12075090,175.29.xxx.xxx,IP,[],0.0059897004834735
IP_cb69a11246851a0c6d7cdd2af5926b74d1b8c095799e6d8c0a74e7230d4706de,175.29.xxx.xxx,IP,[],0.0075040166459247
IP_e322ee6cdcc26522679bd7205e06250c6d77eac394014db263ebcf3f76e9fd88,175.29.xxx.xxx,IP,[],0.0114871768228184
IP_a7f69e52012fda7c364b0c8d5eeb3d070a3a8b409d941c3234fea32ed76fad98,175.29.xxx.xxx,IP,[],0.0128854091039545
IP_9a80f02df88da6a5c2523964322b7354571020ebff3f2f1046df806a20538a11,175.29.xxx.xxx,IP,[],0.0028406748103442
IP_705ffff60651d23c16b4506ef54dfdba695d0563116addbb089d57acfcba8e6a,175.29.xxx.xxx,IP,[],0.003670499847197
IP_cfcb3f970117966c4574178e7765f009abecc08c09212995f75fb5b229878649,175.29.xxx.xxx,IP,[],0.003670499847197
IP_b5e4743afb5a2b48a64f5aa6251784a3d1e2afc14d44586bde8a1e738e44c6bb,175.29.xxx.xxx,IP,[],0.0035045348398265
IP_d7228fc706ffc9d7b177025ce8c04b3e1965fa0d663f39219da3147655110b4e,175.29.xxx.xxx,IP,[],0.0035045348398265
IP_cad12a4cb5c2e2432ed8c288f45f97a98d53e2c54da726d2370b6d95adc40de5,175.29.xxx.xxx,IP,[],0.0035045348398265
IP_4b9267d4b8cd45b884cab4f4deeded52ef94fb7c9c0442b4a3aa3201dae85728,175.29.xxx.xxx,IP,[],0.0035045348398265
IP_cc3976c10dda26e27987ec81c5dbbcd14bac94807e6010a995bfd007d6f5131b,175.29.xxx.xxx,IP,[],0.003670499847197
IP_81e4c4c02bdf578494fea8c3e79a5bbaa4b2a740c5d35ebdeba5f7bd2125b423,154.218.xxx.xxx,IP,[],0.003073025820663
IP_75211a29df51cd95b4698e169b096a4760c831c6d299f9b1a8c6768d9b866e1b,175.29.xxx.xxx,IP,[],0.0035045348398265
