id,name,type,industry,Industry and number
IP_94fb4d47d3920b6a5b74a8ce9e304377460fdffdf6582eca97eda2037bbe0b47,123.1.xxx.xxx,IP,  ,"[['  ', 3], ['B', 2]]"
IP_e9d4d0c9b504b782a7e04f78cf471fc52abba41c1330dec1bd5cfb583add10ce,156.239.xxx.xxx,IP,  ,"[['G', 2], ['  ', 2]]"
Cert_392d981eaf712a3ecb8553b3b90974d538e484bad7ccff19f6ef89d1b6456226,392d981eaf,Cert,  ,"[['  ', 3], ['G', 2]]"
IP_180ec840d57b66390033e9f0145b6dc76a7213c42d0992faeaaf5719ba7273a2,23.224.xxx.xxx,IP,  ,"[['  ', 1], ['G', 1]]"
IP_4388239df158d109a77362b1005f194160349eb19f4882e017c8316af464f9c2,198.23.xxx.xxx,IP,  ,"[['  ', 1]]"
IP_2eec711d731faa1b677c62cb897e58cc1c296c1f9864abd447dec6b04b6cea0f,43.129.xxx.xxx,IP,  ,"[['  ', 3]]"
Cert_90251c3412b1d10fed822153d9877b1dcb2eed0b35c174b2b1f8b1a58de9bc7f,90251c3412,Cert,  ,"[['  ', 8]]"
IP_fd1466e72d137176ee7d85c8b1d286fdfba318ff80048df9c18155704c997088,173.242.xxx.xxx,IP,  ,"[['  ', 3]]"
IP_69a9464a6a800a5bd8a3635e8912467cb0c447cb90d3efe4adf77f3b4d9b6901,192.210.xxx.xxx,IP,  ,"[['  ', 2]]"
IP_0458088d7526210a3de82f8c7bf290613c96c823d69b2c21da56ad6d5c57e3fd,43.128.xxx.xxx,IP,  ,"[['  ', 3]]"
Cert_c0d00a3cff5fec1cf204007339f4e82354db0a8f3c151156ff52020f64239200,c0d00a3cff,Cert,  ,"[['  ', 2]]"
IP_818dd622a130f04e0857bd0276f4dacb32ee046d46605f35cb8bac9999c42f19,192.210.xxx.xxx,IP,  ,"[['G', 2]]"
Cert_9c2573ab65a8b7f2b29473065403aedc3a118a7fd1298c17c97513a23bf661f1,9c2573ab65,Cert,  ,"[['G', 2]]"
