relation,source,target
r_asn,IP_fd1466e72d137176ee7d85c8b1d286fdfba318ff80048df9c18155704c997088,ASN_36b2a321f2749b2040b579993be3c253349b609d065a0c6eae8221d96a317b5e
r_cert,Domain_d7632006adfa48173b7791317e2c14bc5633a782816812fca33d198c5ac65844,Cert_9c2573ab65a8b7f2b29473065403aedc3a118a7fd1298c17c97513a23bf661f1
r_dns_a,Domain_d7632006adfa48173b7791317e2c14bc5633a782816812fca33d198c5ac65844,IP_818dd622a130f04e0857bd0276f4dacb32ee046d46605f35cb8bac9999c42f19
r_cidr,IP_2eec711d731faa1b677c62cb897e58cc1c296c1f9864abd447dec6b04b6cea0f,IP_CIDR_ac1d899ad98b695492d9432304f745682fd381c5fcd1f9961d316b013858ad78
r_asn,IP_2eec711d731faa1b677c62cb897e58cc1c296c1f9864abd447dec6b04b6cea0f,ASN_78e2809d367a13eba927824f6b9e4f2d576c23401663df240342ed4a6a1ee69f
r_cname,Domain_36fd1f26e051d752d86580f3f3674a48f488a5785a5cf145e37c2f08999caaab,Domain_b0db5e33bb91089520046ff41da4b0d81d7a0fbe23e1046106554c79f8c8659c
r_dns_a,Domain_d544953df628ea3b0268350be0b607e25f954435ac8582ab50205c7bc48c5685,IP_69a9464a6a800a5bd8a3635e8912467cb0c447cb90d3efe4adf77f3b4d9b6901
r_cert,Domain_f46d307d274bb9a830daa368b0cd60b60b11a19245f69807b22270e54720699d,Cert_c0d00a3cff5fec1cf204007339f4e82354db0a8f3c151156ff52020f64239200
r_subdomain,Domain_f46d307d274bb9a830daa368b0cd60b60b11a19245f69807b22270e54720699d,Domain_4a574ffed389ef750ce9cbac62946a3be659eb701338d7a8a6e7d6cf7a296160
r_dns_a,Domain_f46d307d274bb9a830daa368b0cd60b60b11a19245f69807b22270e54720699d,IP_0458088d7526210a3de82f8c7bf290613c96c823d69b2c21da56ad6d5c57e3fd
r_subdomain,Domain_f46d307d274bb9a830daa368b0cd60b60b11a19245f69807b22270e54720699d,Domain_4a17a04e1db069c8eee11f9506ffa28eb0e7b2ec45d56a554598e236313e3a6f
r_subdomain,Domain_f46d307d274bb9a830daa368b0cd60b60b11a19245f69807b22270e54720699d,Domain_afd826ef13c05bc22f4781e7ad58b8cf5a2b66fc0b65b94cefee484aca14bcaf
r_cidr,IP_4388239df158d109a77362b1005f194160349eb19f4882e017c8316af464f9c2,IP_CIDR_3d4e93241db9e250041c92deb309d5473242867c77e493f8223f84af60210acf
r_asn,IP_4388239df158d109a77362b1005f194160349eb19f4882e017c8316af464f9c2,ASN_0f9a2f1da2fbc85c054b28eed6800ae354d92ca6d24f07f7143a9bf7e1723d5d
r_dns_a,Domain_366244592364299707e33731d928c96df664d8beabce7066f2399687d9c81261,IP_180ec840d57b66390033e9f0145b6dc76a7213c42d0992faeaaf5719ba7273a2
r_cname,Domain_366244592364299707e33731d928c96df664d8beabce7066f2399687d9c81261,Domain_f3554b666038baffa5814c319d3053ee2c2eb30d31d0ef509a1a463386b69845
r_dns_a,Domain_b6ae03c6b2e79be5e1f2b2938fb27069996d9a29daa6e3e8f63da65a7baba520,IP_fd1466e72d137176ee7d85c8b1d286fdfba318ff80048df9c18155704c997088
r_cname,Domain_b6ae03c6b2e79be5e1f2b2938fb27069996d9a29daa6e3e8f63da65a7baba520,Domain_807a8a1a5282607c2063a5b0365268b25f0f62d61741a3e25244840595f10dc3
