relation,source,target
r_dns_a,Domain_95f01e9c6c78192a9deb3e06223440588aa3183fef9ab49bc7f74ef6ede27f31,IP_fb7439245fb1ad7477530e7acefbf70f842fb59d93c995a096827ca1b72ada09
r_dns_a,Domain_6771c87f6c544cda26e89251e14928dd43339f9c229679db5bb9cdca34266fe3,IP_fb7439245fb1ad7477530e7acefbf70f842fb59d93c995a096827ca1b72ada09
r_dns_a,Domain_7f73c96551b2998e98def77c11b2f346f60745961017f46ffb99e00887c772f9,IP_9edf8b9fe5f466067d324978646b56ef50d444508c44d9a679fff05c946fef38
r_subdomain,Domain_0062512d5ed1dfc09d1add7fcc72b43eb1b62b973b92569f6c58297fb7ee0658,Domain_5a6de8f9a943b38bcf8261acd6a83ebd27a1b073b2af9d32c2227d11d50775a4
r_subdomain,Domain_0a7d0e2bc9625f391c1c38235dc9fe3ab34205af10874fbaf8fb2ed79abe3963,Domain_c4e16189a3f9f728a4dc7934bc959728439fe8d190c2f321e4f2c7d9fbff6c7a
r_dns_a,Domain_0a7d0e2bc9625f391c1c38235dc9fe3ab34205af10874fbaf8fb2ed79abe3963,IP_1c44d861d7347b8764e642e5facfdbcee5defd0df939ab82a4b7ea5162f13dae
r_dns_a,Domain_db40e79e8589eed3700c0946b077e420fc2f48b46dc632a922b6ee5e2f2808b6,IP_cb1599ff775ee3d0e849b13524ace44eb7503e97fb6108bfac0bcb985dd9d646
r_dns_a,Domain_40dc9cd8f5ffa875f3d867fd2ff6123ba7485728c4b9c5a54d45e3c09d197244,IP_fb7439245fb1ad7477530e7acefbf70f842fb59d93c995a096827ca1b72ada09
r_subdomain,Domain_7f73c96551b2998e98def77c11b2f346f60745961017f46ffb99e00887c772f9,Domain_267d233cb43f39bf2ab5c624faacd3e366542667d0a7f0ffee8e6a5b176a8bcb
r_dns_a,Domain_36882e660d57dbc0f7a9c9a7dd1428f121044501f0081e61a4cbed8d7c710583,IP_cb1599ff775ee3d0e849b13524ace44eb7503e97fb6108bfac0bcb985dd9d646
r_dns_a,Domain_36882e660d57dbc0f7a9c9a7dd1428f121044501f0081e61a4cbed8d7c710583,IP_1c44d861d7347b8764e642e5facfdbcee5defd0df939ab82a4b7ea5162f13dae
r_subdomain,Domain_70134f22f54a069d3dc3684a108104933c893d24098ee597ab98172be0c67a38,Domain_0efe0a563075ade01e15184783bfd3c95f6f17788bd9939d62cb3d2c873bde44
r_subdomain,Domain_36882e660d57dbc0f7a9c9a7dd1428f121044501f0081e61a4cbed8d7c710583,Domain_046f75474555adefab6f4b9da5adc591dc37703289746238f23ea404cb41639e
r_dns_a,Domain_0a7d0e2bc9625f391c1c38235dc9fe3ab34205af10874fbaf8fb2ed79abe3963,IP_cb1599ff775ee3d0e849b13524ace44eb7503e97fb6108bfac0bcb985dd9d646
r_dns_a,Domain_08c85109b11628722111cc4dad3a24ee2f41460285d9b0881ef316b36ad02d81,IP_cb1599ff775ee3d0e849b13524ace44eb7503e97fb6108bfac0bcb985dd9d646
r_dns_a,Domain_3b8f6a5677fe94da1dce81d222b58b338e3289c96e0cb62f3d233ed742763746,IP_1c44d861d7347b8764e642e5facfdbcee5defd0df939ab82a4b7ea5162f13dae
r_dns_a,Domain_2e9cd74f40a3194d17bda1eaad252f62bb918948fe482c15466cb2e6184818a9,IP_cb1599ff775ee3d0e849b13524ace44eb7503e97fb6108bfac0bcb985dd9d646
r_dns_a,Domain_0cb8b8f26aa7ed435246d7a84b27d3243558fcdc1b76d467e05f75d252ef0137,IP_1c44d861d7347b8764e642e5facfdbcee5defd0df939ab82a4b7ea5162f13dae
r_dns_a,Domain_08c85109b11628722111cc4dad3a24ee2f41460285d9b0881ef316b36ad02d81,IP_1c44d861d7347b8764e642e5facfdbcee5defd0df939ab82a4b7ea5162f13dae
r_subdomain,Domain_37141e07717b373d7cf2bfc67cf8d690cfad61daad1602cb36d7eee1425608fd,Domain_7fe763cd37eb88df2738b097c1b581ab88fb0cee583afc921525e555e4af4e08
r_dns_a,Domain_63bfb4acc7b5483596644c5dba4b779a5510391cd0394b18eb3fb8856c82941e,IP_1c44d861d7347b8764e642e5facfdbcee5defd0df939ab82a4b7ea5162f13dae
r_dns_a,Domain_5b0f335cb28db2486dd206a42c47b83c54f2255b5cf4174a231dbfc8f0a22b61,IP_630ad0b4920bfdc057f7f41929ece3e807e0006d0683d760bdee44b9bcb74e4f
r_dns_a,Domain_900ef9098e8f1ab8e6dafa12efce57b517065f443d901d31b602012630eb49e1,IP_fb7439245fb1ad7477530e7acefbf70f842fb59d93c995a096827ca1b72ada09
r_dns_a,Domain_03537f73c27ea205c50ffa6b7d42f0c430110f3541d6ef0dc976e34a4da6a75d,IP_630ad0b4920bfdc057f7f41929ece3e807e0006d0683d760bdee44b9bcb74e4f
