id,name,type,industry,Industry and number
IP_aadd79b44201b5aa051dd5d38af5c51baed45c630717d43db8a260b274deaedb,172.67.xxx.xxx,IP,  ,"[['AB', 1], ['  ', 34], ['B', 5], ['A', 11]]"
IP_4212df96fd05fb1b6138990bbc4f6c97246f9f16c863094aa6453b2c6d72a05d,104.27.xxx.xxx,IP,  ,"[['  ', 32]]"
IP_dd938bb8f5b1a4f2afed83e4be4ad7dd3891e851adac1bc5d8e0ff98e6babd90,104.27.xxx.xxx,IP,  ,"[['  ', 32]]"
IP_f78fa99ec7d4d5c30639524e3d01250d0951936fe1fbc72948cdf1b2ddfbb714,104.18.xxx.xxx,IP,  ,"[['  ', 41], ['A', 2]]"
IP_1c44d861d7347b8764e642e5facfdbcee5defd0df939ab82a4b7ea5162f13dae,172.67.xxx.xxx,IP,  ,"[['AB', 5], ['  ', 78], ['A', 26], ['B', 4], ['C', 1]]"
IP_3b591ca25ab2ffe6978475e1d92324a5b0a5209a7bc0461df914a5b76b3ece33,104.18.xxx.xxx,IP,  ,"[['  ', 41], ['A', 2]]"
IP_dfaa6a8d8a443400ff7dcbdf7ea692de317ec7c25ffb35bb41f2d4827dc442f5,104.18.xxx.xxx,IP,  ,"[['  ', 21]]"
IP_9edf8b9fe5f466067d324978646b56ef50d444508c44d9a679fff05c946fef38,104.18.xxx.xxx,IP,  ,"[['  ', 21]]"
IP_cb8649e3521842dadd8d95c4835f0b17f055346a4b83da3f55207a9def5b0088,104.27.xxx.xxx,IP,  ,"[['  ', 37], ['A', 2], ['B', 1]]"
IP_1e0ce2c908bc3a3b0b08ee52f5ac1a812ba15c948254ae2b24e246bc54e2f6db,104.27.xxx.xxx,IP,  ,"[['  ', 37], ['A', 2], ['B', 1]]"
IP_136a30fb09124d6fdade3e3ffbf46c3708f361e40ed011b7f27ade91a5a30f92,172.67.xxx.xxx,IP,  ,"[['  ', 71], ['AB', 1], ['B', 7], ['A', 12]]"
IP_fab65ab1e5272f54f62d2aaeda1e380c4caa8d68433f768dda425f73a111c97c,69.171.xxx.xxx,IP,  ,"[['A', 13], ['B', 9], ['AB', 2], ['  ', 1]]"
IP_fb7439245fb1ad7477530e7acefbf70f842fb59d93c995a096827ca1b72ada09,74.86.xxx.xxx,IP,  ,"[['G', 2], ['  ', 8], ['B', 8], ['A', 10]]"
IP_7c93966d4e250b06f774f84e24b05dd01d057291d840d9e5c1b3e350c12c42e6,104.27.xxx.xxx,IP,  ,"[['  ', 27], ['B', 2], ['A', 1]]"
IP_609bbcc1e63b5176162def8dcd4261e4d4365d7e7f63874f296cbc28752ea9df,104.27.xxx.xxx,IP,  ,"[['  ', 27], ['B', 2], ['A', 1]]"
IP_42e3f76637d2da0c1f9761e92bf9902af1c9ddfcf9cc42097e474302d08ff5e9,172.67.xxx.xxx,IP,  ,"[['  ', 59], ['A', 11], ['B', 7], ['G', 2]]"
IP_d963b70645b2e4b32b8aab3073b1e3437f438611fdaf308c1decdaa159512e30,174.37.xxx.xxx,IP,  ,"[['  ', 92], ['AB', 4], ['A', 5], ['B', 7], ['C', 1]]"
IP_cb1599ff775ee3d0e849b13524ace44eb7503e97fb6108bfac0bcb985dd9d646,104.21.xxx.xxx,IP,  ,"[['A', 24], ['  ', 56], ['AB', 5], ['B', 4], ['C', 1]]"
IP_630ad0b4920bfdc057f7f41929ece3e807e0006d0683d760bdee44b9bcb74e4f,104.21.xxx.xxx,IP,  ,"[['  ', 54], ['A', 11], ['AB', 1], ['B', 6]]"
IP_74db555c5a8cd4719f06ea94be7f639eb9c7243e5105b0932aa7c5706007e198,108.160.xxx.xxx,IP,  ,"[['B', 11], ['AB', 1], ['  ', 4], ['A', 3], ['G', 2]]"
IP_69d6d1fde2620a575d853fafb82ab65ffb1a01ae6197e0b11b5f619e9b33d3b8,104.21.xxx.xxx,IP,  ,"[['A', 10], ['  ', 51], ['B', 5], ['G', 2]]"
IP_459a6c2a6681da3798c7a922452e6a7ac007e18a606c8ec1595635dab3944327,199.96.xxx.xxx,IP,  ,"[['  ', 2], ['A', 10], ['B', 7], ['C', 1], ['AB', 1], ['G', 1]]"
IP_d090ebb009b967b6de0b1dd22d4877283ae0fd155803edbdb21fec82a6e68be0,31.13.xxx.xxx,IP,  ,"[['C', 1], ['A', 4], ['G', 2], ['  ', 4], ['B', 5]]"
Cert_136cad6d5f1ce4f62313716ac32194c2598dbcfebebacb3e32ad37ccbc7a47a6,136cad6d5f,Cert,  ,"[['B', 1]]"
IP_7302fc03f5c2cdd4bc34113bee2908efb72b13fde06561498114fa5e0ca029fd,31.13.xxx.xxx,IP,  ,"[['B', 8], ['A', 9], ['G', 3], ['AB', 3], ['C', 1], ['  ', 1]]"
