relation,source,target
r_cert,Domain_d7632006adfa48173b7791317e2c14bc5633a782816812fca33d198c5ac65844,Cert_9c2573ab65a8b7f2b29473065403aedc3a118a7fd1298c17c97513a23bf661f1
r_dns_a,Domain_d7632006adfa48173b7791317e2c14bc5633a782816812fca33d198c5ac65844,IP_818dd622a130f04e0857bd0276f4dacb32ee046d46605f35cb8bac9999c42f19
r_dns_a,Domain_d544953df628ea3b0268350be0b607e25f954435ac8582ab50205c7bc48c5685,IP_69a9464a6a800a5bd8a3635e8912467cb0c447cb90d3efe4adf77f3b4d9b6901
r_cert,Domain_f46d307d274bb9a830daa368b0cd60b60b11a19245f69807b22270e54720699d,Cert_c0d00a3cff5fec1cf204007339f4e82354db0a8f3c151156ff52020f64239200
r_subdomain,Domain_f46d307d274bb9a830daa368b0cd60b60b11a19245f69807b22270e54720699d,Domain_4a574ffed389ef750ce9cbac62946a3be659eb701338d7a8a6e7d6cf7a296160
r_dns_a,Domain_f46d307d274bb9a830daa368b0cd60b60b11a19245f69807b22270e54720699d,IP_0458088d7526210a3de82f8c7bf290613c96c823d69b2c21da56ad6d5c57e3fd
r_subdomain,Domain_f46d307d274bb9a830daa368b0cd60b60b11a19245f69807b22270e54720699d,Domain_4a17a04e1db069c8eee11f9506ffa28eb0e7b2ec45d56a554598e236313e3a6f
r_subdomain,Domain_f46d307d274bb9a830daa368b0cd60b60b11a19245f69807b22270e54720699d,Domain_afd826ef13c05bc22f4781e7ad58b8cf5a2b66fc0b65b94cefee484aca14bcaf
r_dns_a,Domain_366244592364299707e33731d928c96df664d8beabce7066f2399687d9c81261,IP_180ec840d57b66390033e9f0145b6dc76a7213c42d0992faeaaf5719ba7273a2
r_dns_a,Domain_b6ae03c6b2e79be5e1f2b2938fb27069996d9a29daa6e3e8f63da65a7baba520,IP_fd1466e72d137176ee7d85c8b1d286fdfba318ff80048df9c18155704c997088
r_cname,Domain_b6ae03c6b2e79be5e1f2b2938fb27069996d9a29daa6e3e8f63da65a7baba520,Domain_807a8a1a5282607c2063a5b0365268b25f0f62d61741a3e25244840595f10dc3
r_cert,Domain_9b137c5215788c8e66a5ea2d45c7ec3af81d5b1521610b166b109a6701324742,Cert_90251c3412b1d10fed822153d9877b1dcb2eed0b35c174b2b1f8b1a58de9bc7f
r_cert,Domain_2bc0e345c32f9a28d7f96467187e65ca0c1fb3c870eb762bacc2e93af6aad961,Cert_90251c3412b1d10fed822153d9877b1dcb2eed0b35c174b2b1f8b1a58de9bc7f
r_subdomain,Domain_0a641ed768cee0673f6f23cb056fb60d3edc18079d6b63a9e76d24082cf329e8,Domain_2bc0e345c32f9a28d7f96467187e65ca0c1fb3c870eb762bacc2e93af6aad961
r_subdomain,Domain_0a641ed768cee0673f6f23cb056fb60d3edc18079d6b63a9e76d24082cf329e8,Domain_bc9c0f77d9f87ea79b2f49a0f3079e7e93fbf06162d7cd89066ae95a18ce05cf
r_cert,Domain_0a641ed768cee0673f6f23cb056fb60d3edc18079d6b63a9e76d24082cf329e8,Cert_90251c3412b1d10fed822153d9877b1dcb2eed0b35c174b2b1f8b1a58de9bc7f
r_dns_a,Domain_4988530504aecaf8ce6965e5a25889682716bae0d3001f83ef5c2ea5a1aa50d7,IP_818dd622a130f04e0857bd0276f4dacb32ee046d46605f35cb8bac9999c42f19
r_cert,Domain_4988530504aecaf8ce6965e5a25889682716bae0d3001f83ef5c2ea5a1aa50d7,Cert_9c2573ab65a8b7f2b29473065403aedc3a118a7fd1298c17c97513a23bf661f1
r_cert,Domain_4a574ffed389ef750ce9cbac62946a3be659eb701338d7a8a6e7d6cf7a296160,Cert_c0d00a3cff5fec1cf204007339f4e82354db0a8f3c151156ff52020f64239200
r_dns_a,Domain_4a574ffed389ef750ce9cbac62946a3be659eb701338d7a8a6e7d6cf7a296160,IP_0458088d7526210a3de82f8c7bf290613c96c823d69b2c21da56ad6d5c57e3fd
r_cname,Domain_4a574ffed389ef750ce9cbac62946a3be659eb701338d7a8a6e7d6cf7a296160,Domain_f46d307d274bb9a830daa368b0cd60b60b11a19245f69807b22270e54720699d
r_dns_a,Domain_4a17a04e1db069c8eee11f9506ffa28eb0e7b2ec45d56a554598e236313e3a6f,IP_fd1466e72d137176ee7d85c8b1d286fdfba318ff80048df9c18155704c997088
r_dns_a,Domain_9b137c5215788c8e66a5ea2d45c7ec3af81d5b1521610b166b109a6701324742,IP_2eec711d731faa1b677c62cb897e58cc1c296c1f9864abd447dec6b04b6cea0f
r_cert,Domain_9b137c5215788c8e66a5ea2d45c7ec3af81d5b1521610b166b109a6701324742,Cert_392d981eaf712a3ecb8553b3b90974d538e484bad7ccff19f6ef89d1b6456226
r_dns_a,Domain_b0db5e33bb91089520046ff41da4b0d81d7a0fbe23e1046106554c79f8c8659c,IP_4388239df158d109a77362b1005f194160349eb19f4882e017c8316af464f9c2
r_dns_a,Domain_afd826ef13c05bc22f4781e7ad58b8cf5a2b66fc0b65b94cefee484aca14bcaf,IP_e9d4d0c9b504b782a7e04f78cf471fc52abba41c1330dec1bd5cfb583add10ce
r_cert,Domain_afd826ef13c05bc22f4781e7ad58b8cf5a2b66fc0b65b94cefee484aca14bcaf,Cert_392d981eaf712a3ecb8553b3b90974d538e484bad7ccff19f6ef89d1b6456226
r_subdomain,Domain_807a8a1a5282607c2063a5b0365268b25f0f62d61741a3e25244840595f10dc3,Domain_d7632006adfa48173b7791317e2c14bc5633a782816812fca33d198c5ac65844
r_subdomain,Domain_807a8a1a5282607c2063a5b0365268b25f0f62d61741a3e25244840595f10dc3,Domain_44ea0fc049750533fd490ba1b1867062d168c57e36f5ce40469512800c4a2f27
r_subdomain,Domain_807a8a1a5282607c2063a5b0365268b25f0f62d61741a3e25244840595f10dc3,Domain_d544953df628ea3b0268350be0b607e25f954435ac8582ab50205c7bc48c5685
r_subdomain,Domain_807a8a1a5282607c2063a5b0365268b25f0f62d61741a3e25244840595f10dc3,Domain_b6ae03c6b2e79be5e1f2b2938fb27069996d9a29daa6e3e8f63da65a7baba520
r_dns_a,Domain_807a8a1a5282607c2063a5b0365268b25f0f62d61741a3e25244840595f10dc3,IP_fd1466e72d137176ee7d85c8b1d286fdfba318ff80048df9c18155704c997088
r_cert,Domain_807a8a1a5282607c2063a5b0365268b25f0f62d61741a3e25244840595f10dc3,Cert_90251c3412b1d10fed822153d9877b1dcb2eed0b35c174b2b1f8b1a58de9bc7f
r_subdomain,Domain_807a8a1a5282607c2063a5b0365268b25f0f62d61741a3e25244840595f10dc3,Domain_366244592364299707e33731d928c96df664d8beabce7066f2399687d9c81261
r_subdomain,Domain_807a8a1a5282607c2063a5b0365268b25f0f62d61741a3e25244840595f10dc3,Domain_f3554b666038baffa5814c319d3053ee2c2eb30d31d0ef509a1a463386b69845
r_dns_a,Domain_44ea0fc049750533fd490ba1b1867062d168c57e36f5ce40469512800c4a2f27,IP_69a9464a6a800a5bd8a3635e8912467cb0c447cb90d3efe4adf77f3b4d9b6901
r_cert,Domain_4a17a04e1db069c8eee11f9506ffa28eb0e7b2ec45d56a554598e236313e3a6f,Cert_90251c3412b1d10fed822153d9877b1dcb2eed0b35c174b2b1f8b1a58de9bc7f
r_dns_a,Domain_dd8939ede57b0c0f8a387609441c69399a0ef4ab7516a6e927b8b86d10a95b12,IP_2eec711d731faa1b677c62cb897e58cc1c296c1f9864abd447dec6b04b6cea0f
